,utterance,prompt,bigscience/T0pp
37,What Is My Foreign Exchange Rate?,Considering this utterance: What Is My Foreign Exchange Rate? What is the intent that best describes it?,describe how much the foreign currency costs and where is was purchased
38,When Does The Rate Get Determined,Considering this utterance: When Does The Rate Get Determined What is the intent that best describes it?,Quantity is determined by amount of work and difficulty of obtaining the material
39,What Is The Current Exchange Rate For Me?,Considering this utterance: What Is The Current Exchange Rate For Me? What is the intent that best describes it?,"get more information from my currency exchange agent,"
40,I Need My Card Now!,Considering this utterance: I Need My Card Now! What is the intent that best describes it?,hurry me up! i need my card now
41,My Card Was Not In The Mail Again Can You Advise?,Considering this utterance: My Card Was Not In The Mail Again Can You Advise? What is the intent that best describes it?,ask for help or advice because you are upset
42,I Need My Card Quick,Considering this utterance: I Need My Card Quick What is the intent that best describes it?,express urgent need for the card to be replaced
43,How Long Will It Take To Get To Me?,Considering this utterance: How Long Will It Take To Get To Me? What is the intent that best describes it?,Requests for transportation information..asks
44,I'M Just Wondering When My Card Will Get Here.,Considering this utterance: I'M Just Wondering When My Card Will Get Here. What is the intent that best describes it?,be curious at the arrival of something in the mail
45,Can You Get Me My Card Fast?,Considering this utterance: Can You Get Me My Card Fast? What is the intent that best describes it?,get it fast - yelp
46,How Long Will It Take To Deliver Something To Us?,Considering this utterance: How Long Will It Take To Deliver Something To Us? What is the intent that best describes it?,asks a question about delivery time.
47,"I Live In The Us, How Long Will It Take For Delivery?","Considering this utterance: I Live In The Us, How Long Will It Take For Delivery? What is the intent that best describes it?",Asking for information about delivery and delivery times
48,When Can I Expect My Card To Be Delivered To The Us?,Considering this utterance: When Can I Expect My Card To Be Delivered To The Us? What is the intent that best describes it?,delivery expected in 1-2 weeks.sorry for delay
49,I Need My Card Quickly,Considering this utterance: I Need My Card Quickly What is the intent that best describes it?,Getting the card in a hurry.
50,Does Delivery To The Us Take Long?,Considering this utterance: Does Delivery To The Us Take Long? What is the intent that best describes it?,take long to get to the us from canada
51,How Long Will It Take To Arrive?,Considering this utterance: How Long Will It Take To Arrive? What is the intent that best describes it?,asks an answer or give details of the time
52,Can I Have My Card Delivered On A Specific Day?,Considering this utterance: Can I Have My Card Delivered On A Specific Day? What is the intent that best describes it?,"get it delivered by a certain date,"
53,What Is The Difference Between Standard And Express Delivery?,Considering this utterance: What Is The Difference Between Standard And Express Delivery? What is the intent that best describes it?,compare and contrast.. i like to know the differences
54,Can It Be Delivered By A Specific Date?,Considering this utterance: Can It Be Delivered By A Specific Date? What is the intent that best describes it?,Specification of time is needed for delivery.
55,May I Choose When It'S Delivered?,Considering this utterance: May I Choose When It'S Delivered? What is the intent that best describes it?,Give me a call once the item arrives
56,I Need It Delivered On A Certain Date.,Considering this utterance: I Need It Delivered On A Certain Date. What is the intent that best describes it?,meet the need or expectation of the audience.
57,When Should I Expect My Card?,Considering this utterance: When Should I Expect My Card? What is the intent that best describes it?,Expectantly waiting for something to happen.
58,How Long Does It Take To Get My Card? Can I Choose When To Receive It?,Considering this utterance: How Long Does It Take To Get My Card? Can I Choose When To Receive It? What is the intent that best describes it?,tells us what the wait will be like
59,How Long Will It Take For The Card To Arrive?,Considering this utterance: How Long Will It Take For The Card To Arrive? What is the intent that best describes it?,Arrival time estimate..? based on the information on my postage stamp
60,How Fast Can You Deliver?,Considering this utterance: How Fast Can You Deliver? What is the intent that best describes it?,ask questions and get a fast response from others
61,"Ordered Awhile Back, What Is The Eta In The Us?","Considering this utterance: Ordered Awhile Back, What Is The Eta In The Us? What is the intent that best describes it?",describe the intent of the speaker's question
62,How Long Should I Expect For The Card To Arrive?,Considering this utterance: How Long Should I Expect For The Card To Arrive? What is the intent that best describes it?,Expectedly long to arrive at their destination
63,Whats The Delivery Time To The United States?,Considering this utterance: Whats The Delivery Time To The United States? What is the intent that best describes it?,Businessman is asking about the time..
64,When Will The Card Arrive?,Considering this utterance: When Will The Card Arrive? What is the intent that best describes it?,send a picture card to someone that you love
65,Send My Card As Soon As You Are Able To.,Considering this utterance: Send My Card As Soon As You Are Able To. What is the intent that best describes it?,Acceptance of the gift. Send the card
66,When Are Cards Delivered?,Considering this utterance: When Are Cards Delivered? What is the intent that best describes it?,delivery times vary depending on geographical area and local customs
67,How Long Does Shipping Take To Get To A Us Destination?,Considering this utterance: How Long Does Shipping Take To Get To A Us Destination? What is the intent that best describes it?,be helpful to the customer by quickly providing shipping information
68,Can I Get My Card Expedited?,Considering this utterance: Can I Get My Card Expedited? What is the intent that best describes it?,express an interest in the card immediately to avoid losing it
69,How Long Until My Card Is Delivered?,Considering this utterance: How Long Until My Card Is Delivered? What is the intent that best describes it?,Request for delivery confirmation of their order and date
70,I Need My Card To Come As Soon As Possible.,Considering this utterance: I Need My Card To Come As Soon As Possible. What is the intent that best describes it?,asks the postman to hurry with the delivery
71,When Can I Expect To Receive My New Card?,Considering this utterance: When Can I Expect To Receive My New Card? What is the intent that best describes it?,express an expectation by sending a message about requisitions
72,I Am Waiting For My Card To Arrive.,Considering this utterance: I Am Waiting For My Card To Arrive. What is the intent that best describes it?,wait for the card to arrive or to be sent
73,I Need My Card As Soon As Possible.,Considering this utterance: I Need My Card As Soon As Possible. What is the intent that best describes it?,Requested immediately (within a few minutes)
74,I Need It Delivered By Saturday.,Considering this utterance: I Need It Delivered By Saturday. What is the intent that best describes it?,I need it tomorrow.. by saturday.
75,What'S The U.S. Delivery Time?,Considering this utterance: What'S The U.S. Delivery Time? What is the intent that best describes it?,ask a question or express concern about the United States
76,When Will My Card Arrive?,Considering this utterance: When Will My Card Arrive? What is the intent that best describes it?,send me my card on time. i forgot my password.
77,Can I Choose A Date For Delivery?,Considering this utterance: Can I Choose A Date For Delivery? What is the intent that best describes it?,Requesting a date for delivery or pick-up
78,Can I Make Sure My Card Is Delivered On A Specific Day?,Considering this utterance: Can I Make Sure My Card Is Delivered On A Specific Day? What is the intent that best describes it?,send a card to her on her birthday
79,Can I Have It Be Delivered At A Certain Time?,Considering this utterance: Can I Have It Be Delivered At A Certain Time? What is the intent that best describes it?,be sure they arrived on the stated date and time.
80,I'Ve Tried My Card A Bunch Of Times And It Never Worked.,Considering this utterance: I'Ve Tried My Card A Bunch Of Times And It Never Worked. What is the intent that best describes it?,Useful in removing something from your hand
81,I Can'T Get My Card To Work.,Considering this utterance: I Can'T Get My Card To Work. What is the intent that best describes it?,desperation for change (disambiguation)
82,My Card Appears To Be Broken How Can I Fix It?,Considering this utterance: My Card Appears To Be Broken How Can I Fix It? What is the intent that best describes it?,call me if you need any assistance while using
83,How Do I Know Why My Card Isn'T Working?,Considering this utterance: How Do I Know Why My Card Isn'T Working? What is the intent that best describes it?,tell someone about the problem with his card.
84,My Card Broke.,Considering this utterance: My Card Broke. What is the intent that best describes it?,express anger and frustration that the card broke.
85,My Card Won'T Work.,Considering this utterance: My Card Won'T Work. What is the intent that best describes it?,Won't work right now? or just me and a friend?
86,Why Is My Card Not Working?,Considering this utterance: Why Is My Card Not Working? What is the intent that best describes it?,ask the merchant why they are having an issue
87,Can You Please Identify The Problem With My Bank Card?,Considering this utterance: Can You Please Identify The Problem With My Bank Card? What is the intent that best describes it?,requesting assistance with their bank card issue.
88,How Do I Unblock My Card Using The App?,Considering this utterance: How Do I Unblock My Card Using The App? What is the intent that best describes it?,Usefullness of the app for a customer
89,My Card Does Not Work,Considering this utterance: My Card Does Not Work What is the intent that best describes it?,a request to retry if failed
90,How Can I Get My Physical Card To Work?,Considering this utterance: How Can I Get My Physical Card To Work? What is the intent that best describes it?,Help me understand what I can do with it
91,Can Someone Assist Me By Explaining Why My Card Is Not Working?,Considering this utterance: Can Someone Assist Me By Explaining Why My Card Is Not Working? What is the intent that best describes it?,Assume I need to know what happened
92,Help Me.  My Card Doesn'T Work.,Considering this utterance: Help Me.  My Card Doesn'T Work. What is the intent that best describes it?,Helpfullness..asking for help
93,Can A Card Stop Working?,Considering this utterance: Can A Card Stop Working? What is the intent that best describes it?,Useful item for a card game of chance
94,I Think My Card Is Broken,Considering this utterance: I Think My Card Is Broken What is the intent that best describes it?,I'm worried that my card is faking and I need someone to fix it.
95,Why Isn'T My Card Working?,Considering this utterance: Why Isn'T My Card Working? What is the intent that best describes it?,get my card working again.. thanks.
96,My Card Isn'T Working Anymore.,Considering this utterance: My Card Isn'T Working Anymore. What is the intent that best describes it?,Annoyed and upset that your card isn't working any more.
97,My Card Was Declined Today When Eating And I Need To Know What'S Wrong.,Considering this utterance: My Card Was Declined Today When Eating And I Need To Know What'S Wrong. What is the intent that best describes it?,Want to find out why the card was declined
98,My Card Doesn'T Work.,Considering this utterance: My Card Doesn'T Work. What is the intent that best describes it?,Work (song) 00:00:18
99,How Can I Resolve A Problem Where My Card Won'T Go Through At All?,Considering this utterance: How Can I Resolve A Problem Where My Card Won'T Go Through At All? What is the intent that best describes it?,resolve card not working issue.. help me!
100,My Actual Card Isn'T Working.,Considering this utterance: My Actual Card Isn'T Working. What is the intent that best describes it?,Recover the card using an alternate method.
101,Is My Card Broken?,Considering this utterance: Is My Card Broken? What is the intent that best describes it?,inquire about someone's card' and ask if it may need to be replaced
102,I Broke My Card,Considering this utterance: I Broke My Card What is the intent that best describes it?,irritated feeling or anger of breaking things
103,My Card Stopped Working,Considering this utterance: My Card Stopped Working What is the intent that best describes it?,No longer works for this purchase.<unk>n
104,"My Card Is Broke, What Do I Do?","Considering this utterance: My Card Is Broke, What Do I Do? What is the intent that best describes it?",take me to a doctor. sex
105,"I Tried Using My Card Today And It'S Not Working, Can You Help Me?","Considering this utterance: I Tried Using My Card Today And It'S Not Working, Can You Help Me? What is the intent that best describes it?",help the other party find solutions to the problem
106,My Card Stopped Working When I Use It,Considering this utterance: My Card Stopped Working When I Use It What is the intent that best describes it?,"Problems with payment cards, such as a debit or credit card"
107,I Can'T Use My Card.,Considering this utterance: I Can'T Use My Card. What is the intent that best describes it?,express regret for being without the card. i
108,Need Help With My Card. It'S Not Working.,Considering this utterance: Need Help With My Card. It'S Not Working. What is the intent that best describes it?,Requests help with a credit card transaction
109,I Cannot Use My Card.,Considering this utterance: I Cannot Use My Card. What is the intent that best describes it?,express shock at losing the card..
110,The Card I'Ve Got Seems To Be Broken.,Considering this utterance: The Card I'Ve Got Seems To Be Broken. What is the intent that best describes it?,I'm not sure if the card works.
111,My Card Isn'T Working,Considering this utterance: My Card Isn'T Working What is the intent that best describes it?,express frustration with the card's function failure
112,My Card Suddenly Quit Working.,Considering this utterance: My Card Suddenly Quit Working. What is the intent that best describes it?,Stop doing whatever's bad for me.
113,I Have Tried To Use My Card Several Times And It Does Not Work.,Considering this utterance: I Have Tried To Use My Card Several Times And It Does Not Work. What is the intent that best describes it?,frustrates the cardholders who cannot use their card
114,The Card I Have Doesn'T Work.,Considering this utterance: The Card I Have Doesn'T Work. What is the intent that best describes it?,Is bad and needs changed.. quickly
115,My Card Doesn'T Accept Any Transaction At All. What'S Wrong??,Considering this utterance: My Card Doesn'T Accept Any Transaction At All. What'S Wrong?? What is the intent that best describes it?,Accepted by someone with the card.
116,How Can I Check If My Card Is Working?,Considering this utterance: How Can I Check If My Card Is Working? What is the intent that best describes it?,check how to tell if an american express card is working
117,Nothing Goes Through On My Card.,Considering this utterance: Nothing Goes Through On My Card. What is the intent that best describes it?,refuses to accept money. or pay.
118,How Do I Find Out Why My Card Won'T Work?,Considering this utterance: How Do I Find Out Why My Card Won'T Work? What is the intent that best describes it?,help others to find out what happened to their card
119,"Could It Be That I Deactivated My Card, Its Not Working?","Considering this utterance: Could It Be That I Deactivated My Card, Its Not Working? What is the intent that best describes it?",expresses concern over the card not working
120,"My Entire Gym Bag, Including My Wallet, Was Stolen Out Of My Locker Today. Everything In My Wallet Is Gone - How Do I Block The Card To Make It Can'T Be Used?","Considering this utterance: My Entire Gym Bag, Including My Wallet, Was Stolen Out Of My Locker Today. Everything In My Wallet Is Gone - How Do I Block The Card To Make It Can'T Be Used? What is the intent that best describes it?",Make sure the card can't be used again
121,I Can'T Find My Card And Think It May Have Been Stolen.,Considering this utterance: I Can'T Find My Card And Think It May Have Been Stolen. What is the intent that best describes it?,steal card from me i think it was stolen
122,"Someone Stole My Card. I Need To Report It Stolen. I Made A Police Report Already, But How Do I Report It With You?","Considering this utterance: Someone Stole My Card. I Need To Report It Stolen. I Made A Police Report Already, But How Do I Report It With You? What is the intent that best describes it?",Make a report with the thief
123,"I Cant Find My Card, It'S Gone.","Considering this utterance: I Cant Find My Card, It'S Gone. What is the intent that best describes it?","negative emotion of shock and panic.. I Cant Find My Card, It'S Gone."
124,My Card Is Lost! What Can I Do?,Considering this utterance: My Card Is Lost! What Can I Do? What is the intent that best describes it?,Ask customer service for help..or complain.
125,I Lost My Card,Considering this utterance: I Lost My Card What is the intent that best describes it?,forgetfulness due to forgetting the card's location
126,Oh No!  I Lost My Card!  Help!,Considering this utterance: Oh No!  I Lost My Card!  Help! What is the intent that best describes it?,express shock that I have lost my card?
127,"I Believe My Card Has Been Stolen, What Can I Do About This Situation? It'S Urgent.","Considering this utterance: I Believe My Card Has Been Stolen, What Can I Do About This Situation? It'S Urgent. What is the intent that best describes it?",Concern for security and safety of their card.
128,Help! Someone Stole My Card!,Considering this utterance: Help! Someone Stole My Card! What is the intent that best describes it?,anger in losing her card at the store.
129,Help.  I Have A Stolen Card!,Considering this utterance: Help.  I Have A Stolen Card! What is the intent that best describes it?,panic stricken franticness
130,"Card Is Lost, Please Help","Considering this utterance: Card Is Lost, Please Help What is the intent that best describes it?",Lost wallet was found. Someone is trying to help me to find
131,How Do I Report My Card Stolen?,Considering this utterance: How Do I Report My Card Stolen? What is the intent that best describes it?,seeks to avoid financial loss in an act of theft
132,My Card Is Gone I Think It Was Stolen,Considering this utterance: My Card Is Gone I Think It Was Stolen What is the intent that best describes it?,steal card to use it elsewhere or steal it again
133,Is A Copy Of The Police Report Necessary For Completing The Report Process?,Considering this utterance: Is A Copy Of The Police Report Necessary For Completing The Report Process? What is the intent that best describes it?,process of giving a police report for completing the report
134,I Lost My Wallet Today With All My Credit Cards. Will You Please Block The Card And Send A Replacement?,Considering this utterance: I Lost My Wallet Today With All My Credit Cards. Will You Please Block The Card And Send A Replacement? What is the intent that best describes it?,Requesting new card for wallet lost today with credit cards
135,How Do I Deal With A Stolen Card?,Considering this utterance: How Do I Deal With A Stolen Card? What is the intent that best describes it?,"deal with it quickly, effectively, and fairly"
136,Can You Freeze My Card It Was Stolen,Considering this utterance: Can You Freeze My Card It Was Stolen What is the intent that best describes it?,request for assistance following the theft of their credit card
137,Help!  I Can'T Find My Card.,Considering this utterance: Help!  I Can'T Find My Card. What is the intent that best describes it?,Help me please find my card. I can't find it anywhere!
138,What Should I Do If I Lost My Card?,Considering this utterance: What Should I Do If I Lost My Card? What is the intent that best describes it?,Tell the truth about what happened.. and explain it
139,I Need Help With A Lost Card,Considering this utterance: I Need Help With A Lost Card What is the intent that best describes it?,need help finding card and need new one.
140,I Think My Card Was Stolen.,Considering this utterance: I Think My Card Was Stolen. What is the intent that best describes it?,misplaced my wallet and card and want the owner to know.
141,"Someone Stole My Wallet Earlier Today, Not Sure Exactly When, Probably On Piccadilly Circus. Can You Check If There Were Any Attempts To Use The Card And Obviously Block It?","Considering this utterance: Someone Stole My Wallet Earlier Today, Not Sure Exactly When, Probably On Piccadilly Circus. Can You Check If There Were Any Attempts To Use The Card And Obviously Block It? What is the intent that best describes it?",Check on the card and block it if necessary
142,I Think I Lost My Card . I Dont Know How Long It Has Been Missing. Can You See If Maybe Someone Else Has Been Using It?,Considering this utterance: I Think I Lost My Card . I Dont Know How Long It Has Been Missing. Can You See If Maybe Someone Else Has Been Using It? What is the intent that best describes it?,search for lost thing/card to get back
143,How Can I Freeze A Stolen Card?,Considering this utterance: How Can I Freeze A Stolen Card? What is the intent that best describes it?,Finances and investments.. Business. Education and knowledge.
144,What Should I Do If My Card Is Missing?,Considering this utterance: What Should I Do If My Card Is Missing? What is the intent that best describes it?,Call the company where the card was bought and report the problem to the representative.
145,My Bags Were Stolen. I Need A New Card But Need To Cancel The Stolen One.,Considering this utterance: My Bags Were Stolen. I Need A New Card But Need To Cancel The Stolen One. What is the intent that best describes it?,Call customer service to cancel the stolen card for safety
146,Somehow I Am Missing My Card.  What Should I Do?,Considering this utterance: Somehow I Am Missing My Card.  What Should I Do? What is the intent that best describes it?,call a phone number and ask where it is
147,My Card Was Taken From Me,Considering this utterance: My Card Was Taken From Me What is the intent that best describes it?,Taken as a joke.'s
148,My Card Got Lost.,Considering this utterance: My Card Got Lost. What is the intent that best describes it?,Negatively..lolz
149,Some Idiot Stole My Card.,Considering this utterance: Some Idiot Stole My Card. What is the intent that best describes it?,sarcastic humour with a hint of irony
150,How Do I Report My Card Lost Or Stolen?,Considering this utterance: How Do I Report My Card Lost Or Stolen? What is the intent that best describes it?,help the victim understand what to do next.
151,My Card Is Lost! What Do I Do Now?,Considering this utterance: My Card Is Lost! What Do I Do Now? What is the intent that best describes it?,panic stricken or concerned about losing it
152,I'M In Spain And My Stuff Has Been Stolen. My Card Was With It And I Need A New One Shipped And The Old One Frozen.,Considering this utterance: I'M In Spain And My Stuff Has Been Stolen. My Card Was With It And I Need A New One Shipped And The Old One Frozen. What is the intent that best describes it?,Get a new card immediately and freeze the stolen card
153,I Believe My Credit Card Was Stolen.,Considering this utterance: I Believe My Credit Card Was Stolen. What is the intent that best describes it?,Believe that someone or something else stole my credit card
154,How Do I Report A Stolen Card?,Considering this utterance: How Do I Report A Stolen Card? What is the intent that best describes it?,ask a question on the internet about the card
155,"Somebody Has Stolen My Card, I Need Help Please.","Considering this utterance: Somebody Has Stolen My Card, I Need Help Please. What is the intent that best describes it?",call for help from police or police station.
156,I Cannot Find My Credit Card.,Considering this utterance: I Cannot Find My Credit Card. What is the intent that best describes it?,"Cannot Find My Credit Card. (2014, film)"
157,Are You Able To Locate My Card?,Considering this utterance: Are You Able To Locate My Card? What is the intent that best describes it?,"find, locate, carded, utter"
158,My Card Got Stolen!,Considering this utterance: My Card Got Stolen! What is the intent that best describes it?,"Negatively definable as a ""stolen"" card"
159,Help Me Please!  My Card Was Stolen!,Considering this utterance: Help Me Please!  My Card Was Stolen! What is the intent that best describes it?,Request for help being made in a foreign country
160,How Old Do I Need To Be To Get An Account For Myself,Considering this utterance: How Old Do I Need To Be To Get An Account For Myself What is the intent that best describes it?,be my own account holder for the first time
161,How Young Can I Be To Open My Own Account?,Considering this utterance: How Young Can I Be To Open My Own Account? What is the intent that best describes it?,give me my first banking account when i turn 16
162,How Old Do I Have To Be?,Considering this utterance: How Old Do I Have To Be? What is the intent that best describes it?,questioning an answer to a factual question
163,Can I Open An Account For A Child?,Considering this utterance: Can I Open An Account For A Child? What is the intent that best describes it?,describe a child's account for the parents
164,How Old Do We Have To Be?,Considering this utterance: How Old Do We Have To Be? What is the intent that best describes it?,asks a question or gives info to be used to make an answer
165,How Do I Go About Setting Up An Account For My Daughter?,Considering this utterance: How Do I Go About Setting Up An Account For My Daughter? What is the intent that best describes it?,Set up an account for her..and she is in love
166,Is There An Age Minimum?,Considering this utterance: Is There An Age Minimum? What is the intent that best describes it?,asks a question about rules or requirements
167,What Is The Youngest Age In Order To Have An Account?,Considering this utterance: What Is The Youngest Age In Order To Have An Account? What is the intent that best describes it?,inquire about something about the account age restriction and the age requirement for opening an account
168,What Age Do I Have To Be?,Considering this utterance: What Age Do I Have To Be? What is the intent that best describes it?,be a part of something meaningful in school
169,Can My Daughter Open An Account?,Considering this utterance: Can My Daughter Open An Account? What is the intent that best describes it?,ask for assistance with the account. ask if she can set something up
170,What Is The Minimum Age To Open An Account?,Considering this utterance: What Is The Minimum Age To Open An Account? What is the intent that best describes it?,best describes the question's intent well enough
171,What Is The Minimum Age?,Considering this utterance: What Is The Minimum Age? What is the intent that best describes it?,Determine how the law applies to children in this situation
172,I Am Only 17. Can I Make An Account?,Considering this utterance: I Am Only 17. Can I Make An Account? What is the intent that best describes it?,give to me an account so that I can do this
173,Could I Open An Account For My Children?,Considering this utterance: Could I Open An Account For My Children? What is the intent that best describes it?,ask if it is possible to open an account
174,What Is The Age To Open An Account?,Considering this utterance: What Is The Age To Open An Account? What is the intent that best describes it?,None of the above choices..........
175,How Do I Open Up An Account For My Child?,Considering this utterance: How Do I Open Up An Account For My Child? What is the intent that best describes it?,open a childs account on the internet
176,Can I Open A Bank Account For My Newborn Baby?,Considering this utterance: Can I Open A Bank Account For My Newborn Baby? What is the intent that best describes it?,open a savings account for him or her
177,How Old Do I Have To Be To Open An Account?,Considering this utterance: How Old Do I Have To Be To Open An Account? What is the intent that best describes it?,"Ask them for their age. If they refuse, leave and find somewhere else to open your account."
178,Do You Offer Services For Children To Have Money Saving Experience?,Considering this utterance: Do You Offer Services For Children To Have Money Saving Experience? What is the intent that best describes it?,make good investments at young age to build a strong financial foundation
179,If My Kids Wanted To Use Your Service How Old Would They Have To Be?,Considering this utterance: If My Kids Wanted To Use Your Service How Old Would They Have To Be? What is the intent that best describes it?,make money on selling something for young kids to have more fun
180,Can My 19 Year Old Daughter Open A Savings Account At The Bank?,Considering this utterance: Can My 19 Year Old Daughter Open A Savings Account At The Bank? What is the intent that best describes it?,give her some financial freedom and let it grow
181,How Old Do You Have To Be To Get An Account?,Considering this utterance: How Old Do You Have To Be To Get An Account? What is the intent that best describes it?,ask for some information on the age to get an account
182,What'S The Minimum Age For Opening An Account?,Considering this utterance: What'S The Minimum Age For Opening An Account? What is the intent that best describes it?,open to everyone who is over age 18 in a supervised fashion
183,"I Would Like An Account For My Children, How Do I Go About Doing This?","Considering this utterance: I Would Like An Account For My Children, How Do I Go About Doing This? What is the intent that best describes it?",do something good for my children now that I have money
184,Can My Children Have Their Own Account?,Considering this utterance: Can My Children Have Their Own Account? What is the intent that best describes it?,give children ownership of their accounts for safekeeping
185,Is It Possible To Open An Account For My Children?,Considering this utterance: Is It Possible To Open An Account For My Children? What is the intent that best describes it?,Allows kids to open an account for themselves
186,Do My Kids Have To Be A Certain Age To Use This Service?,Considering this utterance: Do My Kids Have To Be A Certain Age To Use This Service? What is the intent that best describes it?,inquire about the age requirement for a service
187,How Old Do You Have To Be To Be Able To Open An Account?,Considering this utterance: How Old Do You Have To Be To Be Able To Open An Account? What is the intent that best describes it?,open an account in india for kids below 18
