,utterance,prompt,bigscience/T0pp
26,The Exchange Rate Would Be?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,positive and hopeful about the rate and future of the currency
27,What Is The Exchange Rate Like?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,exchange rate policy of a nation or other entity
28,How Do Your Exchange Rates Work?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,expresses the intent to know what's going on or to understand
29,What Is The Exchange Rate?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Descriptionisthebestexpressivemodeforthisutterance
30,Where Did Your Guys Exchange Rates Come From?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"come from exchange rates from your guy, to you"
31,How Are You Determining Your Exchange Rates?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Finance and Business Economics. Business Management. International Trade and Finance
32,I'M Trying To Figure Out The Current Exchange Rate.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Determine the current exchange rate. (number)
33,From Where Are You Getting Your Exchange Rates?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Business sense or sense of fair dealing with the exchange rate.
34,Can You Tell Me The Foreign Exchange Rate?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"Requesting information on financial markets, currencies and markets"
35,Why Do Your Exchange Rates Change,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Reasons for changing them may be that different countries have different exchange rates
36,What Kind Of Foreign Exchange Rate Will I Get When I Exchange My Money?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Get a good deal on currency conversion rates
37,What Is My Foreign Exchange Rate?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for it in writing. Ask the bank about your currency rate.
38,When Does The Rate Get Determined,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Rates are determined by a monetary authority and published each week.
39,What Is The Current Exchange Rate For Me?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask me to tell me the exchange rate.
40,I Need My Card Now!,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get my card now! i need it now
41,My Card Was Not In The Mail Again Can You Advise?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,tell someone where it is and get them to tell me
42,I Need My Card Quick,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Want it quick. Yes. I'll send you my card.
43,How Long Will It Take To Get To Me?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get to me now please <unk> wtf
44,I'M Just Wondering When My Card Will Get Here.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Asking for a time of arrival of something
45,Can You Get Me My Card Fast?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get my card fast for me please. thanks
46,How Long Will It Take To Deliver Something To Us?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,deliver something to us how long will it take
47,"I Live In The Us, How Long Will It Take For Delivery?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,expresses curiosity about how long the product will need to arrive once sent
48,When Can I Expect My Card To Be Delivered To The Us?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Expectation (disambiguation) 4
49,I Need My Card Quickly,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,I need my card in a hurry.
50,Does Delivery To The Us Take Long?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,take long to deliver the goods to usa from the united kingdom
51,How Long Will It Take To Arrive?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,wait for delivery of the product to arrive on time and in good condition
52,Can I Have My Card Delivered On A Specific Day?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,give me a specific date of arrival for your card
53,What Is The Difference Between Standard And Express Delivery?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express delivery is faster than standard delivery.
54,Can It Be Delivered By A Specific Date?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask the seller for a specific date by which the merchandise must arrive
55,May I Choose When It'S Delivered?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Requesting permission and not being denied something.
56,I Need It Delivered On A Certain Date.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,delivery on a certain date needed it now
57,When Should I Expect My Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,expect the card any day after today if you order today
58,How Long Does It Take To Get My Card? Can I Choose When To Receive It?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,take long to receive a card when you apply
59,How Long Will It Take For The Card To Arrive?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,tells the listener how long to wait
60,How Fast Can You Deliver?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express how fast can you deliver something or give some information
61,"Ordered Awhile Back, What Is The Eta In The Us?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Ordered the wrong size in the US
62,How Long Should I Expect For The Card To Arrive?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"arrive, expect, card, timeframes"
63,Whats The Delivery Time To The United States?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express an interest in receiving the item from the narrator
64,When Will The Card Arrive?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,hope to see it soon enough. I'll check the mail when I get home.
65,Send My Card As Soon As You Are Able To.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express gratitude for a favor you've done
66,When Are Cards Delivered?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"When the card is received, the cards are delivered."
67,How Long Does Shipping Take To Get To A Us Destination?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"Time (disambiguation) 6:11 a.m., 10 October 2013"
68,Can I Get My Card Expedited?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,request something quickly or fast through the internet or by phone on telecommunications services
69,How Long Until My Card Is Delivered?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"time-sensitive information for receiving visitors, guests, or potential customers"
70,I Need My Card To Come As Soon As Possible.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express urgency in something you need right away.
71,When Can I Expect To Receive My New Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Expecting to receive something soon and hoping that it will
72,I Am Waiting For My Card To Arrive.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express gratitude for a gesture made in your stead
73,I Need My Card As Soon As Possible.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express urgency and requisition quickly
74,I Need It Delivered By Saturday.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express in a single word : deliver
75,What'S The U.S. Delivery Time?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,delivery time information for united states of america
76,When Will My Card Arrive?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"arrive and take my card from the envelope,"
77,Can I Choose A Date For Delivery?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,give me a date for delivery please!
78,Can I Make Sure My Card Is Delivered On A Specific Day?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Asking a question about something you desire
79,Can I Have It Be Delivered At A Certain Time?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,request an express delivery date and time in one simple sentence
80,I'Ve Tried My Card A Bunch Of Times And It Never Worked.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express a need for support to get your card to work
81,I Can'T Get My Card To Work.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get help working a credit card without the help of pc
82,My Card Appears To Be Broken How Can I Fix It?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"fix, card, appear, broken.."
83,How Do I Know Why My Card Isn'T Working?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,explains the technical reasons why one's card is not doing what it should
84,My Card Broke.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Shocking to me and others around.
85,My Card Won'T Work.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,negative intent of being ignored and unaccepted
86,Why Is My Card Not Working?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Reasons why the credit card did not work
87,Can You Please Identify The Problem With My Bank Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"problem-solving, help, advice, identify"
88,How Do I Unblock My Card Using The App?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,do more transactions with it or something similar.
89,My Card Does Not Work,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Yesterdy's frustration with her credit card
90,How Can I Get My Physical Card To Work?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,workable solution or approach to the problem presented
91,Can Someone Assist Me By Explaining Why My Card Is Not Working?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,inquire into an unknown process via card. or inquire about an unclear procedure
92,Help Me.  My Card Doesn'T Work.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,help me my card doesn't work please
93,Can A Card Stop Working?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,use a card from that manufacturer again.
94,I Think My Card Is Broken,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,complains it is broken and needs repaired at a convenience store
95,Why Isn'T My Card Working?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"Noun phrase with subject and preposition ""is"""
96,My Card Isn'T Working Anymore.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express indignation or anger at the situation
97,My Card Was Declined Today When Eating And I Need To Know What'S Wrong.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Request for help with the card's issue
98,My Card Doesn'T Work.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Tell someone or tell an officer..it did not work
99,How Can I Resolve A Problem Where My Card Won'T Go Through At All?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,How can I solve a problem where my card won't go through at all?
100,My Actual Card Isn'T Working.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Work of art of some sort that isn't working
101,Is My Card Broken?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,play the card game without a broken card
102,I Broke My Card,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get help immediately to fix your credit card online
103,My Card Stopped Working,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,No longer working means the card needs to be replaced.
104,"My Card Is Broke, What Do I Do?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,help the other person understand what's wrong
105,"I Tried Using My Card Today And It'S Not Working, Can You Help Me?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Help me please with my card! Thanks.
106,My Card Stopped Working When I Use It,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,a problem with the card reader system on the credit card machine
107,I Can'T Use My Card.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,deterrent to unauthorized charges on your card
108,Need Help With My Card. It'S Not Working.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"Help me! Can you do something about my card, please?"
109,I Cannot Use My Card.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express dissatisfaction from a lack of use
110,The Card I'Ve Got Seems To Be Broken.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Breaks in the card's surface suggest that it'S not complete
111,My Card Isn'T Working,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Reset the card with your bank's instructions
112,My Card Suddenly Quit Working.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,upset or annoyed at something happening suddenly or unexpectedly
113,I Have Tried To Use My Card Several Times And It Does Not Work.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Use it and it does not work. It has stopped working
114,The Card I Have Doesn'T Work.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Not Working. (album) (disambiguation)
115,My Card Doesn'T Accept Any Transaction At All. What'S Wrong??,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Wrong with my card? I've tried everything.
116,How Can I Check If My Card Is Working?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,check card works with the following procedures and resources
117,Nothing Goes Through On My Card.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Nominal statement for a work of criticism
118,How Do I Find Out Why My Card Won'T Work?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,help me out please i need it working
119,"Could It Be That I Deactivated My Card, Its Not Working?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"deactivated my card, it stops working now"
120,"My Entire Gym Bag, Including My Wallet, Was Stolen Out Of My Locker Today. Everything In My Wallet Is Gone - How Do I Block The Card To Make It Can'T Be Used?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Can't lose my gym bag again!
121,I Can'T Find My Card And Think It May Have Been Stolen.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Think my card may have been stolen. I can't find it.
122,"Someone Stole My Card. I Need To Report It Stolen. I Made A Police Report Already, But How Do I Report It With You?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get a new card made for me from you
123,"I Cant Find My Card, It'S Gone.",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,frustration at the loss of the card despite the continued access
124,My Card Is Lost! What Can I Do?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,call the police immediately and report it lost.
125,I Lost My Card,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Desperate to find a card.
126,Oh No!  I Lost My Card!  Help!,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Stupidity (idiom) : Oh no! I've lost my card! What's your number!
127,"I Believe My Card Has Been Stolen, What Can I Do About This Situation? It'S Urgent.",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Help the victim immediately. Investigate the issue.
128,Help! Someone Stole My Card!,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,help someone steal my card! <unk>file_gif>
129,Help.  I Have A Stolen Card!,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Requesting help with a stolen credit card.
130,"Card Is Lost, Please Help",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Reward the recipient of the card. The person who received the lost card wants help to find it.
131,How Do I Report My Card Stolen?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,help people whose cards have been stolen with this site
132,My Card Is Gone I Think It Was Stolen,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Lost (game) — n.
133,Is A Copy Of The Police Report Necessary For Completing The Report Process?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,process of filing a police report with the police
134,I Lost My Wallet Today With All My Credit Cards. Will You Please Block The Card And Send A Replacement?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Request a credit card holder to cancel credit cards they lost
135,How Do I Deal With A Stolen Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,How Do I Deal With A Stolen Card?
136,Can You Freeze My Card It Was Stolen,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,asks an administrator if they can temporarily block access to the card
137,Help!  I Can'T Find My Card.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,frantic or helpless cries for assistance
138,What Should I Do If I Lost My Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,find my card immediately and replace it with a duplicate
139,I Need Help With A Lost Card,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,help me find a lost card..
140,I Think My Card Was Stolen.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,fraud prevention in banking system with strong encryption technologies
141,"Someone Stole My Wallet Earlier Today, Not Sure Exactly When, Probably On Piccadilly Circus. Can You Check If There Were Any Attempts To Use The Card And Obviously Block It?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,check if there were any attempts to use the card and obviously block it
142,I Think I Lost My Card . I Dont Know How Long It Has Been Missing. Can You See If Maybe Someone Else Has Been Using It?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,I Lost My Card. Can You See If Maybe Someone Else Has Been Using It
143,How Can I Freeze A Stolen Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for it back if it is stolen from you.
144,What Should I Do If My Card Is Missing?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Contact a card replacement service for help.
145,My Bags Were Stolen. I Need A New Card But Need To Cancel The Stolen One.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,cancel or block a credit or debit card
146,Somehow I Am Missing My Card.  What Should I Do?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"get my card back somehow. do something like go to the grocery store, and buy another"
147,My Card Was Taken From Me,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express regret at it being taken from you.
148,My Card Got Lost.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,lost card? get a new one here
149,Some Idiot Stole My Card.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,embarrassment or contempt for them
150,How Do I Report My Card Lost Or Stolen?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,follow the steps to report it as stolen.
151,My Card Is Lost! What Do I Do Now?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get a new card now! i need my card
152,I'M In Spain And My Stuff Has Been Stolen. My Card Was With It And I Need A New One Shipped And The Old One Frozen.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Get my identity stolen replacement card fast and safely
153,I Believe My Credit Card Was Stolen.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,belief or knowledge that someone has something of value
154,How Do I Report A Stolen Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,follow procedure on how to report a stolen card
155,"Somebody Has Stolen My Card, I Need Help Please.",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"need help, somebody, stole, card."
156,I Cannot Find My Credit Card.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,frustration with the situation expressed mainly as a phrase
157,Are You Able To Locate My Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,locate my card able to find it now
158,My Card Got Stolen!,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,steal or take my card from my pocket while i am at the store
159,Help Me Please!  My Card Was Stolen!,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,appeal for help after someone steals your bankcard
160,How Old Do I Need To Be To Get An Account For Myself,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,create an account for yourself or yourself? [deleted post]
161,How Young Can I Be To Open My Own Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,inquire as to the ages one can open their own bank account
162,How Old Do I Have To Be?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,countable/uncountable nouns in English
163,Can I Open An Account For A Child?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,set up an account for an infant child or child with no prior experience
164,How Old Do We Have To Be?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,tell us how old we must be to enter into an agreement
165,How Do I Go About Setting Up An Account For My Daughter?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask your daughter how to do something on the computer
166,Is There An Age Minimum?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,minimum age for marriages to a local bishop
167,What Is The Youngest Age In Order To Have An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,open account for youngster aged five to ten
168,What Age Do I Have To Be?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,questioning a specific age or grade level
169,Can My Daughter Open An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Open a bank account for your daughter.
170,What Is The Minimum Age To Open An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,open account tfn age 16 16
171,What Is The Minimum Age?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,asks for the minimum age for what is being done
172,I Am Only 17. Can I Make An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express my desire to be on an account even though I'm only 17
173,Could I Open An Account For My Children?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Accounts for children mean financial independence from parents for the child.
174,What Is The Age To Open An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,open your account at any age if you are over 18
175,How Do I Open Up An Account For My Child?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Opens up a whole new world for the child
176,Can I Open A Bank Account For My Newborn Baby?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for advice about financial matters from a trusted person
177,How Old Do I Have To Be To Open An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for the answer without specifying the specific intent
178,Do You Offer Services For Children To Have Money Saving Experience?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,help children to learn money saving behavior and develop money management
179,If My Kids Wanted To Use Your Service How Old Would They Have To Be?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Younger kids would use the service. They would be younger than ten years old.
180,Can My 19 Year Old Daughter Open A Savings Account At The Bank?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,open an account for my daughter at the bank
181,How Old Do You Have To Be To Get An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Young Adult Literature and Fiction. [title] How old do you have to be to get an account? [step] You will have been at least 18 for atleast one year before you can open an escrow account with us.
182,What'S The Minimum Age For Opening An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,open account for young person under 18 years old
183,"I Would Like An Account For My Children, How Do I Go About Doing This?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,want to do something for their children's account
184,Can My Children Have Their Own Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,allow access to own account and have their own credit history
185,Is It Possible To Open An Account For My Children?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,give my children a bank account on their own
186,Do My Kids Have To Be A Certain Age To Use This Service?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Use this age range to determine if you meet the minimum requirements
187,How Old Do You Have To Be To Be Able To Open An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Be able to open an account with some financial institution
188,Is There An Age Limit?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express the meaning in words or a few short sentences
189,What Are The Age Requirements For Opening An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Requirements for a checking account
190,Will I Be Able To Open An Account For My Daughter,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,open an account for my daughter.com/open-account
191,How Old Do I Need To Be To Open An Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Ask a question. I want someone to answer me.
192,What Age Can Sign Up For Services?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Age requirement for signing up for services. nbsp
