,utterance,classes,prompt,EleutherAI/gpt-j-6B
10,what are exchange rates,"['exchange rates', ' rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","rate
rate
What is the rate of exchange of dollars to pounds? How much would that be?

3. What are your rates? The correct choice is Option 2:
1. I'll be paying you with the British pound. 
2. You are paying me with dollars."
11,what are the most current exchange rates?,"['exchange rates', 'current rates', ' rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
[...]
choose the more suitable one
If that wasn't clear, it's the same as ""choosing between the two""."
12,can you explain your exchange rate policy to me?,"['explain policy', 'rate policy', 'explain policy']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","explain rate

I am not sure about the last one. The only way I can make sense is as: 
'explained' + 'policy'?
Is this correct? If not, which one is correct and why?"
13,is it a good time to exchange?,"['good time', 'exchange time']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
The first sentence seems correct. For the second sentence, you want to use exchange, as the sentence is a command or question."
14,what is the exchange rate like on this app?,"['exchange rate', ' app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
*
This is a simple example, you can add as many ""Option"" blocks as you want. You could also add an ""Other"" option, which is basically a fallback if the user is not able to answer the questions or does not even know what an exchange is
import org.springframework.context.support.ClassPathXmlApplicationContext;
public class ExchangeRate
{
 static void main(String[] args) throws Exception
 {
 String exchangeRateOption = ""The exchange rates are as follows:""
 for (Option option : new Options().options)
 if (option.getValue().equalsIgnoreCase(""app""))
 System.out.println(option);

 @Override
 public boolean run()
 throws ClassNotFoundException, SQLException
, ClassCastException
, InstantiationException 
 as a Result
 return false;

 }
}
class Options
imports java.io.IOException;  // Import for exceptions
abstract class Option{   static String getValue() throws IOException{ // Get Option's value
StringBuilder builder = new StringBuilder();
boolean inQuote = false, inParenthesis = true; // Tracks if we're currently in a quoted section or not. We need to keep track if it is parenthesis to be able  to parse out the currency
for (int j = 0; j < tokens.size(); ++j){
CharSequence cs = tokens[j];
if(!inQuote){  if(cs.charAt(0) == '""'){ if (!inParentethesis) builder.append(""'\""'""); }else{if (! inParethesis ) builder.append("". ""); }}}; if ((! inQuotes)&&(tokens.length > 1){builder. append(' ');if (toksens  length>2 && tokens [2].length()!=0 ) {inQuotes =! inQuotes;} }return builder; }

  }"
15,do you have a list of exchange rates?,"['have list', 'exchange rates', 'have rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",do
16,can you tell me where you get your exchange rates?,"['get rates', 'exchange rates', 'get rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","rate
 get rates 

If you see the output from the server you can see that it is returning the correct response. It does not contain utterances of 'I want to exchange my money' (in your case)."
17,will i get a curreng foreign exchange rate?,"['get rate', 'exchange rate', 'foreign exchange', 'get rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Now I need to parse that intent. I have defined the intent in the following way:
Intent intent = new Intent(Intents.EXCHANGECURRENCY);
But the problem is, I am not receiving a value for the utterances 'get rate' and 'foreign exchange'. 
I guess I may be defining the intents incorrectly. Any suggestions please?"
18,what currencies is an exchange rate calculated in?,"['exchange rate', 'calculated rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","calculation
what currency is this exchange

A:
[The word ""is"" is missing in the question.]
The question should be: 
Choose the right option that most accurately describes the meaning of the sentence in its original form."
19,where do you get your exchange rates from?,"['get rates', 'exchange rates', 'get rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rates
20,what is the base of the exchange rates?,"['exchange rates', ' rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","exchanges

How do we compare the rates for this?  Do we do it this way:
   int x1 = 4, y1;
 int a = 2, b = 1, c = 3;

 (x1 / a) / yb > c
 (y1 /*xb*/ > a * xa) * (xb > xc)
? a > b > (c > yc? c : b)? b : (a >????)

 The correct option is A: C
 A
 C. That is to say, the correct response is (1,2) and (3,4) with the answer (4,5).
Why does this work? Why not (2,1) (or (5,0)) or (0,3) as an option? The answer is that the two numbers are different sizes. We do not have the ability to choose a size of one number when comparing to another - this requires a bit more programming to be able to handle this. So, in order to use these options, we would change the rules from the example above, and ask the user to enter the values as integers. I leave it to you to change and test each of these scenarios."
21,what exchange rate do you use?,"['exchange rate', 'use rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","use this rate for the following transaction
rate

A:
It is very hard to understand the question. There are no sentences that make sense to me. 
If you are asking about an exchange of currencies, I would use ""exchangerate""
(example)
""I would like to exchange $25 for $10 in US dollars. (exhange rate: 0.4 USD)   """
22,the exchange rates are?,"['exchange rates', ' rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","rates (2,3,4,5)
exchange rates (3)"
23,what do you base your exchange rates on?,"['base rates', 'exchange rates', 'base rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","2) What's the best way to exchange money to make sure a transaction is valid, without a third-party intermediary. I.e. If someone gave you an amount of money from India to America, how would you tell the receiver if you've not given him the correct amount. 
If sender and receiver agree on a conversion method, a sender can exchange currency to the receivers preferred local currency, and vice versa."
24,what foreign exchange rate will you use?,"['exchange rate', 'foreign exchange', 'use rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","The program will return the string ""3.14""."
25,how much will i get with the exchange rate?,"['exchange rate', 'get rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","how much money
how to use

I am getting error on getRate, How do I fix this? and also what is the difference with get and getrate? 
Thank you!!
My Code
   String queryForExchangeRate = ""I want to know how many $ in $."";
String queryIntentForRate= ""(EXCHANGE_RATE_DETERMINE_INPUT_QUERY)"";
@Override
protected void onCreate(Bundle savedInstanceState) {
super.onCreate();
setContentView(R.layout.activity_exch_det);
TextView textView; //this is my textview with question
textView = (Text View)findViewById( R.id.textview_question );
if (textFieldListener!= null)
{
registerFieldTextChangeListener( textField);

 }
}
private void registerFieldXML()
 {  registerForContextMenu(text, findViewWithTag( ""textfield"" ));
 text = TextView.class.cast(findChildWithText( findChildAt ( R. id. textfield ))); // I am not getting the reference for the element 

 //register the listener
 Listener listener = new TextFieldAdapter() {

  public void convert(CharSequence charSeq)  { // This method is called by text when an editing event occurs.  }

 };
 registerContextViewListener ( text, listener, R .id.text_field );

 private List<Field> getListFields(){
 Field[] fields =  new Field [3] ;
 fields [ 0 ] = Field.DESCRIPTOR_PRIMARY;

 fields.put ( Field. FIELDMESSAGE_TYPE, ""string"");

 return (List< Field >)getContext().getContentResolver().
 createBatchGet (""select * from ""
 + fields[0].getName() + "" where"" + Field._ID +"" in "" +
fields[1]
.getValues(null));

 /*
return getContext ().getResources ().
getStringArray ( ""arrays/intents/"" + fieldName); */

 /**
 * Returns a Cursor"
26,the exchange rate would be?,"['exchange rate', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","In this case, you need the first, ""the rate"", because it's the answer you're looking for. The other answers are options (the choice is between them), and ""price"" is a price (not an exchange).
The problem is the next question. Your choice of answer is ambiguous: ""Would there happen an accident?"" is either asking if there would happen a specific accident, or whether it would ""happen"" in general. In this question, the latter meaning is intended, and it is not ambiguous at all."
27,what is the exchange rate like?,"['exchange rate', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I am thinking about two models:
1) Use the utterances, train a binary classification model that takes the word and the intent as the input and predict the response. Something like the following. 
2) First tokenize the text with an NLP library and extract the features from tokenised text as inputs to a SVM model and return the predicted intent (as a probability).
Are either of these the correct thing to do?  Are there any good resources on doing this sort of thing using python? Would appreciate any suggestions / pointers to resources!
Thanks!   I have a very poor command of Python and am just picking it up slowly as I work on this. It is not a homework assignment as much as a hobby. Sorry if this is too simple an issue for the stack! :)  Many good suggestions below and I'm going through them all. Thanks! I would like to make the model perform with 80-90% accuracy on my dataset, but the more I read the the closer I get to finding a model for this problem that works. So any advice there too would be appreciated. Again, thanks! :D
edit: I ended up using an nlp pipeline in a pre trained BERT based model to find the intents. This is an easy way to go if you have little data. However, I am finding the performance isn't that good. Any suggestions from the community there as to how good this method is would also be awesome. I will also keep updating this issue with any new findings or results I come by :)
Edit again:  After experimenting with the various nn based approaches (CNN, LSTM, etc.) I decided to try the BPE pipeline on BIO tagging (see below). This has worked out very well for me. The accuracy has improved by almost 10% and this has been enough for my purposes. As a bonus I didn't have to worry about the data sparseness problem or having to deal with tokenizing the string. :) Also, it is very fast. There were no issues with using the original BPMN 2.0 dataset to test out the classifier. Also in this case, the accuracy was close to 80% on average for all intented. My only issue was with rare inteded (less than 5-6% of all utternances in the training"
28,how do your exchange rates work?,"['exchange rates', 'work rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","The first utterances work well with the option work rates. The rest of the utteraces are ambiguous. This results in the following ambiguity scores, which are the scores of each intent. In order to fix this, one needs to choose from the options. However, as you will learn in next question, this may not always be possible. For example, in a movie rental context, the user may say a price of 10 dollars for a 3 month subscription and ask for the rates per day. So if the system understands that the first intent is about rental rates rather than work, it should pick the third option as the correct option and the second and fourth options as alternatives. On the other hand, if it understands the intent as one for work hours only, or any of them, then they would all work equally well. How to decide on an appropriate set of utterace patterns? This is exactly the topic we’ll tackle in later questions. I‘ll use a simple example in this question:

Let„s say there are only two valid options, for example: the 3rd option or 4th option. We will not know what the users really wants to know. What can we do? We can first try to determine what we expect the answer to be (if possible).
What do we mean by “exchange rate?”
“Exchange rates‟. You are trying to get exchange rate.‛ You want to find out where the exchange market is currently‏? You can look at the Google‚ search results for ‘what‰exchangerate,‹ but you can also use ‑› instead of „ in that case. (If you are a programmer, just use what you know :P )
Now, what would you expect a ‚‡ exchange‖ to tell you? In a sense you could say that a currency  exchange is the way you go from 1$ to another currency. 
If I were a user, I would expect an answer telling me how much 1€ is in 1$.
We have an idea how the world works - we assume a set exchange prices that can be converted between them. And we are interested in how a conversion (e.g. from $1 to $2) would be calculated. When we convert $100"
29,what is the exchange rate?,"['exchange rate', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
a price rate"
30,where did your guys exchange rates come from?,"['exchange rates', 'come rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","rates  
Expected Output:
You can find the appropriate response for this question in the following lines. Please check."
31,how are you determining your exchange rates?,"['determining rates', 'exchange rates', 'determining rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","rate   |
---|---
1 
 2

A:
  3  A
B: You choose the answer that has  the fewest letters. (3)
C: There are 4 words, how many letters are in each word?
D: 2 letters in the first word, 2 in second and 2 last word.  (4 =  2 +2+ 2) so it is correct."
32,i'm trying to figure out the current exchange rate,"['figure rate', 'exchange rate', 'current rate', 'figure rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rate
33,from where are you getting your exchange rates?,"['getting rates', 'exchange rates', 'getting rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Get the current rate of currency
exchange

A:
[SOMEWHERE] = '$12.50'
response_text = ""The exchange rate is %s to $%s"" % (value_to_convert, where_is_currency)
  ...
print response_json
>>> {""text"": ""You said, 'exchang rate', where is currency?""}
...
>>
{""text"":""The exchnage rate $12.""..""$25."",""@attr"": {""currency"":""$5""}..
{
""response"": {
 ""text"" : '""The $25 is for $5""',
 ""@attr""  : { ""currency"" 'USD' }
}}"
34,can you tell me the foreign exchange rate?,"['tell rate', 'exchange rate', 'foreign exchange', 'tell rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","rate 
You may also like
What is the difference between exchange and tell in a financial institution?"
35,why do your exchange rates change,"['exchange rates', 'change rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","In response to the questions:
Option 1: change rates:  You are not given an option, since the context is a response based question.  Hence you can't have any options. The answer to change rate will be based in context. For instance, if I say ""Can you change this amount"" - you could say, ""change"" or even ""No I can not change it""
option 2: Exchange rates. This is also a no option since it is not a question you are responding to. Rather, it becomes a statement: ""Do you want to know more"".  The options to this question are: Yes, No, I don't want."
36,what kind of foreign exchange rate will i get when i exchange my money?,"['exchange money', 'exchange rate', 'foreign exchange', 'exchange money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","foreign currency exchange 
what is the rate of exchange for USD and GBP
How many dollars does it cost to make one pound
What is exchange rates for money transfers? The rate at which money may be exchanged for another currency. The exchange or foreign currency is also known as Forex (foreign   currency).
https://www.youtube.com/playlist?list=PL-n-k4gQEW0HXlYq4RzsJp8iV68ZDZZJi

10:32
Foreign Exchange Rate
A foreign (or foreign) exchange (FEX) is a transaction between two different currencies. A FEX involves converting the foreign country’s currency into the national currency (i.e. U.S. Dollars into Euros) of a different country, and vice versa. It is often called ""foreign exchange market"" or ""forex"" in short. This transaction is denominated in two currencies, a base currency and a counter currency, which may differ between buyer and seller. For example, if the base (selling) currency was US Dollars and the counter currencies were Euros, the FEM can be denoted USD/EUR. Foreign exchange markets are open for buying one currency with another, for either long or short-term. These markets can operate in any currency unit of measure, although the USD is most commonly used as the underlying base unit."
37,what is my foreign exchange rate?,"['exchange rate', 'foreign exchange', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","What is the Exchange rate of my
currency in Nigeria. What's the
foreign exchange 
rate in the US
. Which one would be the right
choice?

A:
It depends on intent. The most common intent is 'exchanged', the correct choice is thus rate. It also depends of the sentence you've been told to answer. This example comes from 'What's an English Idiom'.
However, you could say that foreign currency is more important than domestic. So 'Which is foreign to you?' is also acceptable."
38,when does the rate get determined,['determined rate'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I want to know the time for which I have spoken. So the uttering will be like this for the first utter and so on
How do I know what should be in the option field?
Also, how should the answer be formatted? Is it a single number like 4:12 or 4th-12-th (which is incorrect)? Or is it like in a movie (e.g. in this video), the number is always after the word spoken by the speaker? 
Thanks in advance.   Edit:
It was mentioned that my question is ambiguous. I am using an intent of Determining the Rate and in case a user says ""Tell me when the bus comes"", it can have three options, depending on how long the user has been waiting for it (or not at all).  The intent has no parameters, so it is only the value in which it should give the response. Now I understand that an option should have to be there in order to have a value, but still, which should that value be? The answer given is 4, in that case, it means, the 4 is the amount of time since the last utter. But, what if the same user asks this question again, after waiting 2 minutes, should this new answer also be 4? I think it shouldn't, because it won't make sense, to say ""it was 4 since last time"". But the intent doesn't allow this, as it has only a question, not an options. That is why the ambiguity. If this intent is wrong, please suggest a correct one. Thank you. Hope this makes sense. :)
A sample code that will determine and answer for this would be much appreciated. Just a sample is enough. Thanks in advanced. :D
Edited2:  Added an answer based upon an Edit given by one of the users of this post. Added this in comments. Apologies for any ambiguity or misunderstanding. This was not the original intent. It can be found under ""Answer 1"". Thanks for your help. Have a nice day. -Javasoft
Answer 2: The utter is: Tell me what the current time is. The value returned should always be a number. There is nothing that can't be an utter (including a sentence) but the question only asks for a time, and the best answer will always contain"
39,what is the current exchange rate for me?,"['exchange rate', 'current rate', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
...
- (BOOL)startMonitoring:(NSString *)valueToMonitor
{
if(value == self)
return NO;
NSUserDefaults *ud = [NSUSERDEFAULTSPresent];
[ud setObject:@""rate"" forKey:value]; 
value = @"""";
int rate = 0;   //  get an int value (for example) and convert it to a float
 float f = NSIntegerToFloat(rate); 

  return YES;

 }
-(void)stopMonitor:(void*) sender{...}
//in your code you need to do the following
@property (retain, readwrite) NSString *value; //value contains the string in the shared NSUserDefault's object
}"
40,i need my card now!,"['need card', 'need card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","want card 
get card"
41,my card was not in the mail again can you advise?,['advise mail'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","choose the best

A:
   intent advise 
ex: when I have no money for a meal, I would go to the market and buy a roti, what do you advice me? 

  intents advise is a very broad intent. In this example, one would advise a different person on what to do or what the options are."
42,i need my card quick,"['need card', 'need card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get card, add card and add money. 

I have tried the sample in this link
https://developer.amazon.com/alexa/scripts-sdk-js-reference.html  but not worked
How do I know which response should I choose?
Please Help. Thanks. :-)
This was my last try
<response>
{
""intent"": ""choose"",
 ""text"": ""<query>"",  // <query>. The text sent to Alexa by your app. This could include a name, or any other string
}
</response>""
Thank you all. I got my answer. :)
Now I can add a card in my application without any errors. Thank you everyone. ;-D
Update 1:
As I mentioned in the comment, I tried to send text to alexa. But, as I used a custom card with a different color to get attention of aalea, it did not work. That's why I posted this in here. So, if any one knows why a word with different font color could not trigger a reaction of Alexa, please let us known. :(
For your information, the card is as follows. Sorry for the bad quality. :P
enter image description here
update 2:  the code I've used before sending custom response is correct. it worked very well. just that I had wrong card. that's all..
Thanks for your responses. Please help to improve my knowledge. And thank all of you, who try to answer my questions here :)  ;-)
Cheers
-Naveen
[1]
UPDATE: I have successfully made a new card for my skill and it's working good. The only issue I was having was Alexa not understanding ""I need your card please"" as a valid intent. Once I changed "" I need card "" from'I Need Card'to 'I Need Your Card ', it started to work good too. Now if anyone could tell me why that is, and if there's any documentation available, that would help.Thanks in advance. Any help is highly appreciated. Tq. Have a good day :-)  :) (I'm in Bangalore)
[/1][2] UPDATE: Finally, It's been one more day trying to figure out why Alexa was not listening to me. Then I came across"
43,how long will it take to get to me?,['get '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Get the user's location.  // I want to return the users location when they say get location

Option 2)
When they ask me to send a text to a friend. I can choose to either reply or say I don't have a connection, depending on my intent. If the intent is reply it should get back some text, if not it will respond with the error ""No connection"".
Note: I'm using a Dialogflow v2.0 Node (not a webhook).  So my agent is a Node.JS app. and it's not in the web. (but I could change if needed).
What I've tried:
I've looked around at Google's examples and tried to figure out how to handle this but I haven't been able to find anything. The closest thing I found was this https://github.com/gatsbyjs/dialog-flow-starter-kit/blob/master/examples/nodejs.js
But I still don`t know how I need to build the actions. Should I have 2 actions? If so, what should they be, should I try to combine them into 1 action and have the same response?  Or does the response just return something? I tried that and I ended up sending back a message that the agent was offline, even though it wasn't. It was confusing at first to see it respond like that. What do you recommend? Is it okay if I use 2 separate actions, or it isn't best? Or maybe there is no way to do it without 2 or more actions in this case? Please help? Thanks. Please let me know what additional details I should add to help clarify what I am asking. :)
Update 1
So, after reading more about this I did some more research and found the example in https: //github.com  /Dialogflow/Dialog-Flow-Nodejs-SDK/tree/develop/samples, they have an example with 4 actions  and 2 intents, I didn't realize that it was possible to use more than one action for a single intent, but if so that's what needs to be created in my case, how do I create a ""multiple"" action? The example uses a button to press and a menu item and this confused me. Does this mean when I"
44,i'm just wondering when my card will get here,['get card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","This intent is used to retrieve a customer's card. For example, if a merchant offers discounts to cardholders, you can use the get card intent to check that the card is valid and to request the merchant to confirm if the discount applies. 

use card payment
This is an alias for the use card API
give card   (or card_data)
 This is the alias of the give API, which can be used in a similar way as the  API to give the customer a card or to create a token that represents a stored card in the platform. You can also use this intent as you would use  to ask if you have credit on a particular card,"
45,can you get me my card fast?,"['get card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Example
String utter = ""get me card""; //this is the message to understand the intent
int i=0;
final Intent intent = new Intent(""android.intent.action.VOICE_COMMAND"");
intent.putExtra(android.text.format.CONTENT_TEXT, utter);
   String getCardIntent= intent.getStringExtra(""extras""); 
System.out.println(getCard);"
46,how long will it take to deliver something to us?,"['deliver ', 'deliver ']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I can't find this service. I want to order something from this
   address. It will take 24-48 hours to get here.  Can we do something today?"
47,i live in the us how long will it take for delivery?,['take delivery'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receive delivery
48,when can i expect my card to be delivered to the us?,['delivered card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","saved card for pickup
card will be sent to
reject card due to invalid amount, please try again

Card will not be saved
I am sorry, the card was rejected. Please try once again.  
Please choose the desired payment method for the payment to us. (Choose all that apply.)
Select payment type. We will use this information to charge your card. You'll be able to complete your purchase as soon as one week. If you wish to pay by another payment, you must return to this step. Thank you for using our service, and have good day. For card payment only, we accept any major credit card or debit card from the following banks: American Express, JCB, Master, Visa and UnionPay."
49,i need my card quickly,"['need card', 'need card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","need to pay
want card 
 want some card"
50,does delivery to the us take long?,['take delivery'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get delivery
