,utterance,classes,prompt,bigscience/T0pp
31,how are you determining your exchange rates?,"['determining rates', 'exchange rates', 'determining rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",determining rates exchange rates?.
32,i'm trying to figure out the current exchange rate,"['figure rate', 'exchange rate', 'current rate', 'figure rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",rate figure current rate exchange rate? <unk>
33,from where are you getting your exchange rates?,"['getting rates', 'exchange rates', 'getting rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",getting rates. currency exchange market - wikipedia
34,can you tell me the foreign exchange rate?,"['tell rate', 'exchange rate', 'foreign exchange', 'tell rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tell rate exchange rate foreign exchange..
35,why do your exchange rates change,"['exchange rates', 'change rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchage rates change rates. php
36,what kind of foreign exchange rate will i get when i exchange my money?,"['exchange money', 'exchange rate', 'foreign exchange', 'exchange money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",currency exchange rate. exchange money exchange rates uk
37,what is my foreign exchange rate?,"['exchange rate', 'foreign exchange', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rate rate foreign exchange. php
38,when does the rate get determined,['determined rate'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",determined rate? | meaning in the cambridge english dictionary
39,what is the current exchange rate for me?,"['exchange rate', 'current rate', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",current rate exchange rate rate? I like the sound of that.
40,i need my card now!,"['need card', 'need card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need your card now!. huawei
41,my card was not in the mail again can you advise?,['advise mail'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",advise mail. fbldo
42,i need my card quick,"['need card', 'need card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need card. i need my card quick
43,how long will it take to get to me?,['get '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",take a flight back to me. get the latest info
44,i'm just wondering when my card will get here,['get card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card.. <unk>.<unk>...
45,can you get me my card fast?,"['get card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card. idiom & phraseology
46,how long will it take to deliver something to us?,"['deliver ', 'deliver ']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",a time frame for an event or meeting
47,i live in the us how long will it take for delivery?,['take delivery'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",take delivery. in the us - days
48,when can i expect my card to be delivered to the us?,['delivered card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",noun delivered card. tense
49,i need my card quickly,"['need card', 'need card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need card.. quickly!!!!!!!!!!!!
50,does delivery to the us take long?,['take delivery'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delivery to the us takes long..thanks.
51,how long will it take to arrive?,['arrive '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",take a while to reach an area far from mht
52,can i have my card delivered on a specific day?,"['specific day', 'delivered day']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",specific day delivered day?..
53,what is the difference between standard and express delivery?,"['standard delivery', ' delivery']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delivery. standard delivery delivery standard order delivery
54,can it be delivered by a specific date?,"['specific date', 'delivered date']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",specific date. comma separated list
55,may i choose when it's delivered?,['delivered '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",None of the above choices.. None
56,i need it delivered on a certain date,"['certain date', 'delivered date']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",certain date delivered date????????????
57,when should i expect my card?,"['expect card', 'expect card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","expect card. a card sent to your house or mail carrier,"
58,how long does it take to get my card? can i choose when to receive it?,"['receive card', 'receive card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receive card. can i choose when to receive it?
59,how long will it take for the card to arrive?,['arrive card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card to arrive at the right time and location
60,how fast can you deliver?,['deliver '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",None of the above choices.. None
61,ordered awhile back what is the eta in the us?,['ordered eta'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",ordered eta. i already ordered it
62,how long should i expect for the card to arrive?,['arrive card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",arrive card.. i expect it
63,whats the delivery time to the united states?,"['united states', 's time']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delivery time to the united states. a time
64,when will the card arrive?,['arrive card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",will arrive card Options: A the card will not arrive on time B the credit card hasn't arrived C the order is coming soon D the item arrived Answer: B
65,send my card as soon as you are able to,"['send card', 'send card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",send card. xxxxxx
66,when are cards delivered?,['delivered cards'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delivered cards.. during the holiday season...
67,how long does shipping take to get to a us destination?,"['us destination', 'get destination']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get destination us destination.. <unk>
68,can i get my card expedited?,['expedited card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",my card expedited. phplist
69,how long until my card is delivered?,['delivered card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delivered card. <unk> :<unk>
70,i need my card to come as soon as possible,"['as possible', 'come card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",come card. femvoer en ta voor
71,when can i expect to receive my new card?,"['receive card', 'new card', 'receive card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receive card.. i expect to receive my new card soon :)
72,i am waiting for my card to arrive,['arrive card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",arrive card. i am waiting for my card to arrive
73,i need my card as soon as possible,"['need card', 'need card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need card. i need my card as soon as possible.
74,i need it delivered by saturday,['delivered '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",by saturday or monday is not a good reason
75,what's the us delivery time?,"['delivery time', ' time']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delivery time us delivery estimate time - wikipedia
76,when will my card arrive?,['arrive card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",arrive card. xbox360.
77,can i choose a date for delivery?,"['choose date', 'choose delivery']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",choose date choose delivery. Choose date a delivery
78,can i make sure my card is delivered on a specific day?,"['specific day', 'delivered day']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",specific day delivered day? if not when will it be delivered.
79,can i have it be delivered at a certain time?,"['certain time', 'delivered time']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",certain time delivered time.....
80,i've tried my card a bunch of times and it never worked,"['tried card', 'worked times']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tried card worked times? :(
81,i can't get my card to work,"['get card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",to help me get my card to work.
82,my card appears to be broken how can i fix it?,"['fix ', 'fix card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",fix card fix a card. com
83,how do i know why my card isn't working?,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",working card.. <unk>... :-[
84,my card broke,['broke card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",card broke. broken card? yes
85,my card won't work,['work card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work card.. i can t use the internet
86,why is my card not working?,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",not working card is not accepted at my card machine
87,can you please identify the problem with my bank card?,"['identify problem', 'bank card', 'identify card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",identify problem identify card. permalink <unk>
88,how do i unblock my card using the app?,"['using app', 'using app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",block or deactivate debit card using the smartphone app
89,my card does not work,['work card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",my card does not work....
90,how can i get my physical card to work?,"['physical card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work card......................
91,can someone assist me by explaining why my card is not working?,"['assist ', 'working card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",assist. can someone assist me by explaining why my card is not working
92,help me  my card doesn't work,"['help ', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",my card doesn't work. help me
93,can a card stop working?,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",working card. a card that stops working when it is inserted into jack.
94,i think my card is broken,['think card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",think card is broken.. n
95,why isn't my card working?,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",working card. wikipedia.org.
96,my card isn't working anymore,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",my card isn't working anymore.
97,my card was declined today when eating and i need to know what's wrong,['know today'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",I need to speak with customer support.
98,my card doesn't work,['work card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i need a new card.
99,how can i resolve a problem where my card won't go through at all?,"['resolve problem', 'go card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get a new card resolved problem go card
100,my actual card isn't working,"['actual card', 'working card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",actual card. working card isn't
101,is my card broken?,[' card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",card is broken. is my card broken
102,i broke my card,"['broke card', 'broke card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",is broke card. the most suitable intent based on the above utterance.
103,my card stopped working,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",working card.jpg id-el5c55affddb2
104,my card is broke what do i do?,['do card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",scold a friend for losing their credit card
105,i tried using my card today and it's not working can you help me?,"['help card', 'help today']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",help card help today. permalink.
106,my card stopped working when i use it,"['use ', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card use id card stop working
107,i can't use my card,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",I can't use my credit card.
108,need help with my card it's not working,"['need help', 'working card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need help with my card it's not working
109,i cannot use my card,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card. i cannot use my card
110,the card i've got seems to be broken,['seems card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",got card seems to be broken..
111,my card isn't working,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",working card.......... working....... if i add any cash it works.....
112,my card suddenly quit working,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",my card suddenly quit working..plz help
113,i have tried to use my card several times and it does not work,"['use card', 'several times', 'work times']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card several times work times...?
114,the card i have doesn't work,['work card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",card i have doesn't work.
115,my card doesn't accept any transaction at all what's wrong??,"['accept transaction', 'accept transaction']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept transaction neema chandra
116,how can i check if my card is working?,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",working card.. bcbf 0043
117,nothing goes through on my card,['goes card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",Nothing goes through on my card. is the most suitable intent based on the above utterance.
118,how do i find out why my card won't work?,['work card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work card. [title] Identify what is happening when the card is not working.
119,could it be that i deactivated my card its not working?,"['deactivated card', 'working card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",deactivated card working card. permalink
120,my entire gym bag including my wallet was stolen out of my locker today everything in my wallet is gone - how do i block the card to make it can't be used?,"['block card', 'gym bag', 'entire bag', 'used card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",used card gym bag. not applicable.
121,i can't find my card and think it may have been stolen,"['find card', 'stolen card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stolen card find card..? :-P
122,someone stole my card i need to report it stolen i made a police report already but how do i report it with you?,"['report report', 'police report', 'report report']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",police report. reports.gov - wikipedia
123,i cant find my card it's gone,"['find card', 'gone card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find card. i cant find my card it's gone
124,my card is lost! what can i do?,['do card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",do card. search for lost card.
125,i lost my card,"['lost card', 'lost card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",lost card. by using an errant card
126,oh no!  i lost my card!  help!,"['lost card', 'lost help']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",lost card lost help..!.
127,i believe my card has been stolen what can i do about this situation? it's urgent,['do situation'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",it's urgent. i believe my card has been stolen
128,help! someone stole my card!,"['stole card', 'stole card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stole card? i don't have a card
129,help  i have a stolen card!,"['have card', 'stolen card', 'stolen card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i have a stolen card!.
130,card is lost please help,['help card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",help card.. i want to ask you something
131,how do i report my card stolen?,['stolen card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stolen card. how do i report my card stolen.
132,my card is gone i think it was stolen,['stolen card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stolen card. cfm is a web-based service that enables you
133,is a copy of the police report necessary for completing the report process?,"['completing process', 'report process', 'completing process']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",completing process.. the report process is over with no further steps necessary
134,i lost my wallet today with all my credit cards will you please block the card and send a replacement?,"['send replacement', 'credit cards', 'send replacement']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",send replacement credit cards..?.
135,how do i deal with a stolen card?,"['stolen card', 'stolen card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stolen card. [header] How to report a stolen credit card [title] Call your card company.
136,can you freeze my card it was stolen,"['freeze card', 'stolen card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",freeze card.. the most suitable intent based on the above utterance.
137,help!  i can't find my card,"['find card', 'find card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",call someone for help to find my card.
138,what should i do if i lost my card?,"['lost card', 'lost card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",lost card. wikipedia.org.
139,i need help with a lost card,"['need help', 'lost card', 'lost card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need help with a lost card.
140,i think my card was stolen,['stolen card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stolen card. membe kata ya
141,someone stole my wallet earlier today not sure exactly when probably on piccadilly circus can you check if there were any attempts to use the card and obviously block it?,"['block card', 'piccadilly circus', 'block card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",someone stole my wallet piccadilly circus
142,i think i lost my card  i dont know how long it has been missing can you see if maybe someone else has been using it?,"['using card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",look for my lost card on the internet if someone has it
143,how can i freeze a stolen card?,"['freeze card', 'stolen card', 'stolen card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",freeze card. wikipedia.org <unk>
144,what should i do if my card is missing?,['missing card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",missing card? contact my bank for a replacement
145,my bags were stolen i need a new card but need to cancel the stolen one,"['cancel one', 'stolen one', 'stolen one']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",cancel one stolen one.png?
146,somehow i am missing my card  what should i do?,"['missing card', 'do card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",do card missing card. mp4
147,my card was taken from me,['taken card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",taken card. <unk> ta
148,my card got lost,['lost card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",lost card. my card got lost.
149,some idiot stole my card,"['stole card', 'stole card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stole card. no thanks!.
150,how do i report my card lost or stolen?,['stolen card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stolen card. catholic social services of america
151,my card is lost! what do i do now?,['do card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","lose my card, lost card in chennai"
152,i'm in spain and my stuff has been stolen my card was with it and i need a new one shipped and the old one frozen,"['old one', 'frozen one']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",old one frozen one. xxx
153,i believe my credit card was stolen,"['credit card', 'stolen card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stolen card credit card. police report.
154,how do i report a stolen card?,"['report card', 'stolen card', 'stolen card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",report card stolen card..?
155,somebody has stolen my card i need help please,"['need help', 'need help']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need help.. i think he got my card
156,i cannot find my credit card,"['find card', 'credit card', 'find card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find card credit card.. find all your bills and bank statements... online
157,are you able to locate my card?,"['locate card', 'locate card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",locate card. can someone help me find my card
158,my card got stolen!,['stolen card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",lost card. stolen card. my card got stolen!
159,help me please!  my card was stolen!,"['help ', 'stolen card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stolen card help! i need it back
160,how old do i need to be to get an account for myself,"['get account', 'get account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get account.. myspace.com
161,how young can i be to open my own account?,"['open account', 'own account', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account own account???? how young can i be to open my own bank account?
162,how old do i have to be?,['have '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",None of the above choices..................
163,can i open an account for a child?,"['open account', 'open child']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account open child..????
164,how old do we have to be?,['have '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",no more than 18 years old. The applicant should be over 18
165,how do i go about setting up an account for my daughter?,"['setting account', 'setting daughter']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",setting up an account for my daughter.
166,is there an age minimum?,"['age minimum', ' minimum']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",minimum age. is there an age minimum
167,what is the youngest age in order to have an account?,"[' account', 'youngest age', ' account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",youngest age account??????????
168,what age do i have to be?,['have age'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",16-23 yoa. I have a ipa
169,can my daughter open an account?,"['open account', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account. can my daughter open an account
170,what is the minimum age to open an account?,"['open account', 'minimum age', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account minimum age? yahoo!
171,what is the minimum age?,"['minimum age', ' age']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",most suitable intent based on the above utterance.
172,i am only 17 can i make an account?,"['make account', 'make account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",make account? i am only 17
173,could i open an account for my children?,"['open account', 'open children']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open an account open children. xml
174,what is the age to open an account?,"['open account', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account. wikipedia.org wikipdia
175,how do i open up an account for my child?,"['open account', 'open child']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account open child?.html is the right path.
176,can i open a bank account for my newborn baby?,"['open account', 'bank account', 'newborn baby', 'open baby']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open baby bank account.. open account
177,how old do i have to be to open an account?,"['open account', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account. fbi.gov
178,do you offer services for children to have money saving experience?,"['have experience', 'saving experience', 'have experience']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","yes, I offer services for children to save money"
179,if my kids wanted to use your service how old would they have to be?,"['use service', 'have service']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",have service use service.. i guess
180,can my 19 year old daughter open a savings account at the bank?,"['open account', 'savings account', 'old daughter', 'open bank']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",savings account open account opening new bank year old girl
181,how old do you have to be to get an account?,"['get account', 'get account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get account? xxxxx.
